file,class,method,variable,usage
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithComplexTest/0,complex2,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,multiplyWithComplexTest/0,multiReal,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithComplexTest/0,divImg,1
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithComplexTest/0,complex1,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithComplexTest/0,complex2,2
/home/luisb/projetos/puc-experimentacao2/./project/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,divideWithComplexTest/0,divReal,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,FCFSScheduling/1[java.util.List<com.thealgorithms.devutils.entities.ProcessDetails>],processes,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateWaitingTime/0,burstTime,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateWaitingTime/0,waitingTime,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateWaitingTime/0,i,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateWaitingTime/0,processesNumber,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,evaluateTurnAroundTime/0,process,3
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",high,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",array,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",low,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",pivot,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",i,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",j,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"partition/3[T[],int,int]",pivotIndex,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",high,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",array,5
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",low,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",i,4
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",j,6
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"insertionSort/3[T[],int,int]",key,2
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,sort/1[T[]],depth,1
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,sort/1[T[]],array,7
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"heapify/4[T[],int,int,int]",largest,7
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"heapify/4[T[],int,int,int]",array,6
/home/luisb/projetos/puc-experimentacao2/./project/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,"heapify/4[T[],int,int,int]",low,7
